Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
RM,2021-01-20 10:24:21.347595264,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347610368,15620,26,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347625728,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347641088,15610,150,A76C5F46C1B8887AF5D2D5E7E368064B,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347656192,15610,25,B715F11CF4C1AF28B90BCE4D54E3BA3D,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347671552,15610,100,4523EA5CC3CB443F5FD077435C5152E8,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347686656,15605,5,D24DADEC783AFBFE3F74EC4ACC679785,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347702016,15605,5,3AF9867D9642675AAE148D0A44D8A2E1,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347717376,15605,168,A66EE6E95413C103DF7C072F0177A9B1,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:28:35.214019840,15655,1,D8F018CC2D664943F931F1F88DF42218,4C846F9EAD05773146B69BCC17CD114F
RM,2021-01-20 10:28:35.214034944,15660,9,D8F018CC2D664943F931F1F88DF42218,CEC2678B2F95EA6F33DFE07D878E695E
RM,2021-01-20 10:29:41.410171392,15635,9,9FBD2DAD9ABAF150CFA28F5B4AE0A81E,A23BF50ECEF6C3D03328E84E223388AD
RM,2021-01-20 10:32:14.854949888,15650,150,2DA1235648506EE17A04737D10E2FAF3,85C34BE5183A296DF4CC204ABECB8409
RM,2021-01-20 10:32:14.855041536,15650,106,2DA1235648506EE17A04737D10E2FAF3,48E62E5950EC4713C3D45EB27E7DED51
RM,2021-01-20 10:32:14.855087360,15650,244,2DA1235648506EE17A04737D10E2FAF3,5CCDAD05033674818C1767A8AE7169E6
RM,2021-01-20 10:34:05.954772992,15605,1,D4A6942015DDD0DD4590E5D03511CAF3,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954788096,15600,2,1C8D41D96FAFB7E113095D5492926583,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954803456,15600,35,FD635A140C04B2792D9363AF9E6654D1,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954818816,15600,2,0A84C0A09B8FD1241F3E93B0488DFE05,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954833920,15600,10,4EAD60D00F43B5A67CBD9991C51DAC44,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954849280,15600,5,488F6D1E56ABF75DD8A564EE6351E75B,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954864384,15600,5,AA684475CAE7126D266EBE6A1826C57D,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954879744,15580,16,A479CA3C4FF65A7880420DDE1BC16AD3,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954895104,15580,79,5653577703FFB1CA384B33B92C6D6B6E,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954910208,15580,24,865BF394E62E79A69E0313700BBACEEB,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954925568,15580,144,A479CA3C4FF65A7880420DDE1BC16AD3,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954940672,15575,171,D90B501B76AD829912830946EB7F9CFE,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954956032,15560,79,A319E434FD0698CBC5F6760184904120,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954971392,15550,100,750CB4F6AB084269D7EDD299C73F01C6,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.954986496,15545,147,D31AD25D436296ED3A26E2405A4040DB,830E8FBE7737E3D197DF12A01877152B
